Trdmnt,size_quintile,bm_quintile,portfolio,vw_return,excess_return,n_stocks
2023-12,3,5,S3B5,-0.03599592051368041,-0.03727892051368041,120
2023-12,4,1,S4B1,-0.04079640783900616,-0.04207940783900616,111
2023-12,4,2,S4B2,-0.020726575853859286,-0.022009575853859285,139
2023-12,4,3,S4B3,-0.019591856429919074,-0.020874856429919073,119
2023-12,4,4,S4B4,-0.03681624236727235,-0.03809924236727235,102
2023-12,4,5,S4B5,-0.020953773088716092,-0.02223677308871609,153
2023-12,5,1,S5B1,-0.02459212746272648,-0.02587512746272648,162
2023-12,5,2,S5B2,-0.015245034085893222,-0.016528034085893224,94
2023-12,5,3,S5B3,-0.011647556850896669,-0.012930556850896668,82
2023-12,5,4,S5B4,-0.024315626032419064,-0.025598626032419063,104
2023-12,5,5,S5B5,-0.01288068252946918,-0.014163682529469179,182
2024-01,1,1,S1B1,-0.16800575725329128,-0.1692887572532913,137
2024-01,1,2,S1B2,-0.200981323467097,-0.202264323467097,131
2024-01,1,3,S1B3,-0.2089800351978001,-0.2102630351978001,140
2024-01,1,4,S1B4,-0.19325022885631601,-0.19453322885631602,148
2024-01,1,5,S1B5,-0.16624797073827724,-0.16753097073827725,55
2024-01,2,1,S2B1,-0.21384633654797192,-0.21512933654797192,98
2024-01,2,2,S2B2,-0.19187887806584025,-0.19316187806584026,123
2024-01,2,3,S2B3,-0.20202942022371692,-0.20331242022371693,153
2024-01,2,4,S2B4,-0.16993070396289986,-0.17121370396289987,140
2024-01,2,5,S2B5,-0.12484094318580531,-0.1261239431858053,110
2024-01,3,1,S3B1,-0.19253436491986678,-0.19381736491986679,111
2024-01,3,2,S3B2,-0.1992158523300178,-0.2004988523300178,137
2024-01,3,3,S3B3,-0.17973934405070496,-0.18102234405070497,127
2024-01,3,4,S3B4,-0.14226043252510825,-0.14354343252510826,128
2024-01,3,5,S3B5,-0.09137036606140614,-0.09265336606140614,120
2024-01,4,1,S4B1,-0.2097239469748731,-0.2110069469748731,111
2024-01,4,2,S4B2,-0.16963590757387878,-0.1709189075738788,139
2024-01,4,3,S4B3,-0.15795526620373035,-0.15923826620373036,119
2024-01,4,4,S4B4,-0.11897416033318463,-0.12025716033318463,102
2024-01,4,5,S4B5,-0.044792112087740525,-0.046075112087740525,153
2024-01,5,1,S5B1,-0.14421693762555163,-0.14549993762555163,162
2024-01,5,2,S5B2,-0.0903966510303009,-0.0916796510303009,94
2024-01,5,3,S5B3,-0.08505251371496525,-0.08633551371496526,82
2024-01,5,4,S5B4,-0.038605483618442765,-0.039888483618442765,104
2024-01,5,5,S5B5,0.05548330266411953,0.05420030266411953,182
2024-02,1,1,S1B1,-0.027530591371281724,-0.028730591371281724,137
2024-02,1,2,S1B2,-0.04285185665782458,-0.04405185665782458,131
2024-02,1,3,S1B3,-0.028811505890107673,-0.030011505890107672,140
2024-02,1,4,S1B4,-0.04227639914185121,-0.04347639914185121,148
2024-02,1,5,S1B5,-0.05611100230107636,-0.05731100230107636,55
2024-02,2,1,S2B1,0.054842157343145494,0.053642157343145494,98
2024-02,2,2,S2B2,0.019871310837935984,0.018671310837935984,123
2024-02,2,3,S2B3,0.01852979260399033,0.01732979260399033,153
2024-02,2,4,S2B4,0.0011861415885076698,-1.3858411492330067e-05,140
2024-02,2,5,S2B5,-0.022530682684994117,-0.023730682684994116,110
2024-02,3,1,S3B1,0.05900406136882001,0.05780406136882001,111
2024-02,3,2,S3B2,0.07234182661481948,0.07114182661481948,137
2024-02,3,3,S3B3,0.08857677527732816,0.08737677527732815,127
2024-02,3,4,S3B4,0.054769272930048574,0.053569272930048574,128
2024-02,3,5,S3B5,0.023042536378621328,0.021842536378621328,119
2024-02,4,1,S4B1,0.12515465716537763,0.12395465716537762,111
2024-02,4,2,S4B2,0.11664504802944473,0.11544504802944472,139
2024-02,4,3,S4B3,0.12967425220571505,0.12847425220571504,119
2024-02,4,4,S4B4,0.08399738241155305,0.08279738241155304,102
2024-02,4,5,S4B5,0.061076851345034475,0.059876851345034475,153
2024-02,5,1,S5B1,0.1220355225565459,0.1208355225565459,162
2024-02,5,2,S5B2,0.10935835236488835,0.10815835236488834,94
2024-02,5,3,S5B3,0.12318390836801749,0.12198390836801748,82
2024-02,5,4,S5B4,0.1048320010153659,0.10363200101536589,104
2024-02,5,5,S5B5,0.05243688841901454,0.05123688841901454,182
2024-03,1,1,S1B1,0.0747610082904683,0.0735610082904683,137
2024-03,1,2,S1B2,0.08849411623537529,0.08729411623537528,131
2024-03,1,3,S1B3,0.10466054453252628,0.10346054453252627,140
2024-03,1,4,S1B4,0.09067701832765153,0.08947701832765152,148
2024-03,1,5,S1B5,0.07723012500692487,0.07603012500692487,55
2024-03,2,1,S2B1,0.039482986567496374,0.038282986567496374,98
2024-03,2,2,S2B2,0.08059439871682933,0.07939439871682932,123
2024-03,2,3,S2B3,0.08070143180692675,0.07950143180692675,153
2024-03,2,4,S2B4,0.08048735842180642,0.07928735842180641,140
2024-03,2,5,S2B5,0.05106314654315806,0.04986314654315806,110
2024-03,3,1,S3B1,0.05143562894124124,0.05023562894124124,111
2024-03,3,2,S3B2,0.04387594442616102,0.042675944426161024,137
2024-03,3,3,S3B3,0.05189975869211258,0.05069975869211258,127
2024-03,3,4,S3B4,0.05860049040082236,0.05740049040082236,128
2024-03,3,5,S3B5,0.03868670295868556,0.03748670295868556,119
2024-03,4,1,S4B1,0.009122027547547845,0.007922027547547845,111
2024-03,4,2,S4B2,0.020268895248557975,0.019068895248557975,139
2024-03,4,3,S4B3,0.050884000347487565,0.049684000347487565,119
2024-03,4,4,S4B4,0.020797722523075837,0.019597722523075838,102
2024-03,4,5,S4B5,-0.0072675264872847116,-0.008467526487284712,153
2024-03,5,1,S5B1,0.0006157419374499102,-0.0005842580625500897,162
2024-03,5,2,S5B2,0.003903809670349651,0.0027038096703496514,94
2024-03,5,3,S5B3,0.03792043983822455,0.03672043983822455,82
2024-03,5,4,S5B4,0.026817397660066432,0.025617397660066432,104
2024-03,5,5,S5B5,0.0013358696765277379,0.00013586967652773796,182
2024-04,1,1,S1B1,-0.12387279556905258,-0.12507279556905257,137
2024-04,1,2,S1B2,-0.07172280852505748,-0.07292280852505749,130
2024-04,1,3,S1B3,-0.058533876716728245,-0.059733876716728244,140
2024-04,1,4,S1B4,-0.029042143475644832,-0.03024214347564483,147
2024-04,1,5,S1B5,-0.05025576926893065,-0.05145576926893065,55
2024-04,2,1,S2B1,-0.0697632226230483,-0.0709632226230483,98
2024-04,2,2,S2B2,-0.03129990153672605,-0.03249990153672605,123
2024-04,2,3,S2B3,-0.01685829997814847,-0.01805829997814847,153
2024-04,2,4,S2B4,-0.027551879880204376,-0.028751879880204376,140
2024-04,2,5,S2B5,-0.021976277531799978,-0.023176277531799978,110
2024-04,3,1,S3B1,-0.03876387471276036,-0.03996387471276036,111
2024-04,3,2,S3B2,-0.014508720588519031,-0.01570872058851903,137
2024-04,3,3,S3B3,-0.0038366035958264755,-0.005036603595826476,127
2024-04,3,4,S3B4,-0.0013107762372001667,-0.0025107762372001668,128
2024-04,3,5,S3B5,0.023477334770864708,0.022277334770864708,119
2024-04,4,1,S4B1,0.002442310377724574,0.001242310377724574,111
