Trdmnt,SL,SM,SH,BL,BM,BH,N_SL,N_SM,N_SH,N_BL,N_BM,N_BH
2020-05,0.032314608407533654,0.028646984627400715,0.0263993616168637,0.032852243821139146,-0.007753461285965945,-0.022361779443302497,462,589,338,368,526,496
2020-06,0.06893810024491352,0.06421956446117533,0.045312550297766103,0.12777144247724978,0.06302549756004386,0.031046730789388473,462,589,339,368,527,496
2020-07,0.10039657003147502,0.13662632668458963,0.1402809217266526,0.1451514658872279,0.1691844934923951,0.0868280706589189,410,626,383,441,512,469
2020-08,0.01784075182326176,0.036450224148700146,0.019761082177175177,0.03104861723157393,0.034269674235095235,0.01782230701849644,410,625,383,441,512,468
2020-09,-0.08667034358963266,-0.08752244351542474,-0.07381775926834457,-0.06706722414563383,-0.06232734450810577,-0.040083505594058016,409,624,382,441,512,469
2020-10,-0.006952708684125344,-0.02156583300704611,-0.0032882883675253993,0.014078544909795456,0.0012285055832648231,0.007210217504261521,409,624,382,441,512,469
2020-11,0.0218125177559473,0.050597353920865486,0.06721927685251076,0.016967976299995153,0.05342778453973876,0.08205650105228118,409,624,382,441,512,469
2020-12,-0.05817701421737812,-0.039792081373652706,-0.004872689272431531,0.09978192948410484,0.0015732058711392842,-0.03194501038758364,409,624,382,441,512,469
2021-01,-0.05436867520022916,-0.08694417686689777,-0.09537201899232585,0.03218263903262756,0.0008121377475603514,-0.014908814983145837,409,624,382,441,512,469
2021-02,0.026783626862593436,0.05397687741015861,0.05483538120579306,-0.030626132935736718,0.01150170995950798,0.0411801630031226,409,624,382,441,512,468
2021-03,0.04335515712527831,0.033890212772835084,0.05278638974764615,-0.061847153757224105,-0.03384640447375591,0.0157573002844221,409,623,381,441,512,468
2021-04,0.008759277732828637,0.006098355388564581,0.015942706882870337,0.03189926859612031,0.0070369439927951295,-0.019216264039691535,408,623,381,441,512,468
2021-05,0.06473867770920001,0.06646301410073699,0.08638949951431364,0.04914399348606911,0.037462075973693706,0.04046174186546036,407,623,381,441,511,468
2021-06,0.034514241025921516,0.018450801365644025,0.010325145506761195,-0.003559171425795008,0.0027405039557393974,-0.011216514217580825,409,623,382,441,511,468
2021-07,-0.01617140413772253,-0.007942542182971848,-0.03323278510267767,-0.05766438853536858,-0.02733785126514645,-0.0540914742317599,363,705,413,526,479,475
2021-08,0.06777012191813366,0.0866406595271887,0.09923148646549923,-0.001369776717732247,0.08609742551511164,0.08658818886315883,363,705,413,526,479,475
2021-09,-0.03219688160232646,-0.013752446384932204,0.006321153265247148,-0.0045931814142765835,-0.023588734571979648,0.03262414532014129,363,705,413,526,479,475
2021-10,0.010204642031388135,-0.020935095151163405,-0.062092862068264955,0.028923067132562586,-0.012393258518742989,-0.04017540928109993,363,705,412,526,479,474
2021-11,0.11637654338173789,0.12581962199595542,0.07432669049013012,0.016122993595563944,0.0213911419863979,-0.02698997285091411,363,705,412,526,479,474
2021-12,0.019208862102461817,0.04732393857496256,0.08175515579581587,0.011640041561664824,0.02593867875973004,0.041560723613257806,363,705,412,526,479,474
2022-01,-0.09428647043822488,-0.08961656940262151,-0.0626081525740519,-0.11243208989134407,-0.09418860705012239,-0.026867012252894576,363,705,411,526,479,474
2022-02,0.049687293290025074,0.058438687189303534,0.05866576971001204,0.01854024338637124,0.03479488199357909,0.034816043103277405,363,705,411,526,479,474
2022-03,-0.05801698100544716,-0.022612201614911516,0.028714831396895513,-0.11453472407476309,-0.08397066444758346,-0.01587552740997027,363,705,411,526,479,474
2022-04,-0.17398016290583335,-0.16944784526762904,-0.13896139213539943,-0.051926022875453844,-0.10411391405947341,-0.03944614485295778,363,704,411,526,479,474
