Trdmnt,size_tercile,beta_smb_bin,portfolio,vw_return,n_stocks
2017-12,1,1,SZ1_BSMB1,-0.012254471296819067,88
2017-12,1,2,SZ1_BSMB2,-0.023225477772076814,188
2017-12,1,3,SZ1_BSMB3,-0.03150558714797649,340
2017-12,2,1,SZ2_BSMB1,-0.012265599879109895,211
2017-12,2,2,SZ2_BSMB2,-0.022382673537538228,277
2017-12,2,3,SZ2_BSMB3,-0.02455147908646799,191
2017-12,3,1,SZ3_BSMB1,0.008654530676800507,368
2017-12,3,2,SZ3_BSMB2,0.003765876426109406,194
2017-12,3,3,SZ3_BSMB3,-0.0007455595914026474,106
2018-01,1,1,SZ1_BSMB1,-0.03349803342464637,85
2018-01,1,2,SZ1_BSMB2,-0.02608994587976947,185
2018-01,1,3,SZ1_BSMB3,-0.035406122379517097,346
2018-01,2,1,SZ2_BSMB1,-0.037372344008533835,212
2018-01,2,2,SZ2_BSMB2,-0.013040605116112406,277
2018-01,2,3,SZ2_BSMB3,-0.03288921044743282,193
2018-01,3,1,SZ3_BSMB1,0.06934279937585709,365
2018-01,3,2,SZ3_BSMB2,0.03776812097322241,191
2018-01,3,3,SZ3_BSMB3,-0.008494959652048962,109
2018-02,1,1,SZ1_BSMB1,-0.048369736817288546,85
2018-02,1,2,SZ1_BSMB2,-0.08140163368099192,185
2018-02,1,3,SZ1_BSMB3,-0.05658015574153858,340
2018-02,2,1,SZ2_BSMB1,-0.036724472382648136,211
2018-02,2,2,SZ2_BSMB2,-0.039888500658045854,277
2018-02,2,3,SZ2_BSMB3,-0.046746994484041904,191
2018-02,3,1,SZ3_BSMB1,-0.05980653206540245,363
2018-02,3,2,SZ3_BSMB2,-0.055219840092278115,189
2018-02,3,3,SZ3_BSMB3,-0.042195303979336435,105
2018-03,1,1,SZ1_BSMB1,0.04551963835401129,85
2018-03,1,2,SZ1_BSMB2,0.041613060339164364,183
2018-03,1,3,SZ1_BSMB3,0.04094120156351983,345
2018-03,2,1,SZ2_BSMB1,0.027442573290904385,207
2018-03,2,2,SZ2_BSMB2,0.0029366823968501694,276
2018-03,2,3,SZ2_BSMB3,0.007475548712916659,181
2018-03,3,1,SZ3_BSMB1,-0.030187136725044462,363
2018-03,3,2,SZ3_BSMB2,-0.03158518126179751,189
2018-03,3,3,SZ3_BSMB3,-0.03780289013410721,104
2018-04,1,1,SZ1_BSMB1,-0.056326554641025,85
2018-04,1,2,SZ1_BSMB2,-0.04900375616762709,184
2018-04,1,3,SZ1_BSMB3,-0.055084274603392124,346
2018-04,2,1,SZ2_BSMB1,-0.03291053323450599,207
2018-04,2,2,SZ2_BSMB2,-0.033415759824267054,275
2018-04,2,3,SZ2_BSMB3,-0.03408546784874627,182
2018-04,3,1,SZ3_BSMB1,-0.029829656669450685,364
2018-04,3,2,SZ3_BSMB2,-0.02718221053161735,191
2018-04,3,3,SZ3_BSMB3,-0.058323934894282115,102
2018-05,1,1,SZ1_BSMB1,-0.03215301227903438,88
2018-05,1,2,SZ1_BSMB2,-0.017215188172300302,183
2018-05,1,3,SZ1_BSMB3,-0.018176118153500842,352
2018-05,2,1,SZ2_BSMB1,-0.00028507086721321227,208
2018-05,2,2,SZ2_BSMB2,-0.004735285905440163,278
2018-05,2,3,SZ2_BSMB3,-0.03885827145576965,187
2018-05,3,1,SZ3_BSMB1,0.01637397033271336,364
2018-05,3,2,SZ3_BSMB2,-0.003745651946710866,191
2018-05,3,3,SZ3_BSMB3,-0.024559417402758587,104
2018-06,1,1,SZ1_BSMB1,-0.12913438559179916,89
2018-06,1,2,SZ1_BSMB2,-0.11383075852484899,186
2018-06,1,3,SZ1_BSMB3,-0.1197501485329135,351
2018-06,2,1,SZ2_BSMB1,-0.10890826478803822,208
2018-06,2,2,SZ2_BSMB2,-0.10819958149850445,276
2018-06,2,3,SZ2_BSMB3,-0.10440266796066475,187
2018-06,3,1,SZ3_BSMB1,-0.06231226751467648,363
2018-06,3,2,SZ3_BSMB2,-0.08930155186017713,189
2018-06,3,3,SZ3_BSMB3,-0.09655521296422082,107
2018-07,1,1,SZ1_BSMB1,0.013301710034308046,60
2018-07,1,2,SZ1_BSMB2,0.028208333901589003,205
2018-07,1,3,SZ1_BSMB3,0.04039978895660585,368
2018-07,2,1,SZ2_BSMB1,0.008935525722747573,177
2018-07,2,2,SZ2_BSMB2,0.012518201095551993,297
2018-07,2,3,SZ2_BSMB3,-0.001100142403247299,233
2018-07,3,1,SZ3_BSMB1,0.016800556490571897,456
2018-07,3,2,SZ3_BSMB2,0.017740735224745376,192
2018-07,3,3,SZ3_BSMB3,0.00824367785171093,95
2018-08,1,1,SZ1_BSMB1,-0.08203433192959741,60
