Trdmnt,model,coefficient,lambda,n_stocks
1995-01,M5_beta_ln_be_me,intercept,-0.2242438473,31
1995-01,M5_beta_ln_be_me,beta,-0.0162094025,31
1995-01,M5_beta_ln_be_me,ln_be_me,0.0203037677,31
1995-01,M6_ln_size_ln_be_me,intercept,-0.3513024439,180
1995-01,M6_ln_size_ln_be_me,ln_size,0.0123109983,180
1995-01,M6_ln_size_ln_be_me,ln_be_me,0.0080780179,180
1995-01,M7_all3,intercept,-0.5600263139,31
1995-01,M7_all3,beta,-0.0126261115,31
1995-01,M7_all3,ln_size,0.0260726675,31
1995-01,M7_all3,ln_be_me,0.0175884527,31
1995-02,M1_beta,intercept,-0.0105215215,31
1995-02,M1_beta,beta,-0.0120747831,31
1995-02,M2_ln_size,intercept,0.0409782903,270
1995-02,M2_ln_size,ln_size,-0.0046483503,270
1995-02,M3_ln_be_me,intercept,-0.1920454093,180
1995-02,M3_ln_be_me,ln_be_me,0.0273531273,180
1995-02,M4_beta_ln_size,intercept,-0.0514755573,31
1995-02,M4_beta_ln_size,beta,-0.0116756019,31
1995-02,M4_beta_ln_size,ln_size,0.0030310560,31
1995-02,M5_beta_ln_be_me,intercept,-0.2198160931,31
1995-02,M5_beta_ln_be_me,beta,-0.0139726178,31
1995-02,M5_beta_ln_be_me,ln_be_me,0.0344472427,31
1995-02,M6_ln_size_ln_be_me,intercept,-0.1786836724,180
1995-02,M6_ln_size_ln_be_me,ln_size,-0.0009499235,180
1995-02,M6_ln_size_ln_be_me,ln_be_me,0.0272513994,180
1995-02,M7_all3,intercept,-0.2235002340,31
1995-02,M7_all3,beta,-0.0139333026,31
1995-02,M7_all3,ln_size,0.0002860643,31
1995-02,M7_all3,ln_be_me,0.0344174508,31
1995-03,M1_beta,intercept,0.0508080318,31
1995-03,M1_beta,beta,0.0280363999,31
1995-03,M2_ln_size,intercept,0.2587757218,270
1995-03,M2_ln_size,ln_size,-0.0089834107,270
1995-03,M3_ln_be_me,intercept,0.6445720198,180
1995-03,M3_ln_be_me,ln_be_me,-0.0834914349,180
